lat,long
37.9592419,-87.5491653
37.9655963,-87.5510452
37.9689114,-87.5555039
37.9429801,-87.6428681
37.9522625,-87.5599213
37.983262,-87.5948617
38.0030039,-87.5811505
37.9826639,-87.597574
37.971993,-87.57097
37.980972,-87.582707
37.9943957,-87.56598
37.9903274,-87.6157306
37.9614708,-87.5643871
37.9860284,-87.6040608
38.019779,-87.543347
37.9643782,-87.6116479
37.9595274,-87.6113472
38.0342484,-87.5738539
37.985935,-87.5683361
37.9963709,-87.5734669
37.9666061,-87.562493
37.9599668,-87.5210149
38.0204372,-87.6191507
38.0192451,-87.6073264
38.0042753,-87.5615441
37.9513224,-87.4781777
37.9730728,-87.5823664
37.9788334,-87.5180876
38.0089834,-87.5685345
37.994299,-87.583129
37.9718169,-87.5551552
38.0016751,-87.5037334
37.9608054,-87.5755306
37.9594663,-87.5565064
37.9476697,-87.5128917
37.9664386,-87.5128753
37.9830151,-87.522304
37.9796348,-87.5953701
37.9783814,-87.5975863
38.0556271,-87.2628057
37.933466,-87.3761458
37.9949866,-87.3477714
38.0416601,-87.2745327
38.1946501,-87.3264572
37.941574,-87.4005875
37.9508631,-87.4102917
38.0891985,-87.465068
38.1097459,-87.0002164
38.169893,-86.8093937
37.9297866,-86.9845607
37.8816226,-87.0627414
37.9460913,-87.1751064
37.9373943,-86.9853116
38.1257775,-86.9049347
37.931414,-86.9856504
38.1700877,-86.98751
38.0120768,-87.0266568
