lat,long
37.958636,-87.561792
37.963674,-87.54035
37.948934,-87.49309
37.997036,-87.581316
37.958348,-87.629061
37.963878,-87.514214
38.114986,-87.536346
38.005468,-87.550401
37.967705,-87.490259
38.035517,-87.579446
37.951112,-87.557354
38.010193,-87.571958
37.988303,-87.475181
38.029071,-87.579285
37.949659,-87.526269
37.968165,-87.496626
38.073591,-87.516811
37.982613,-87.556564
37.962485,-87.53929
37.970001,-87.56017
37.980399,-87.570765
37.969418,-87.526802
37.983807,-87.573687
37.948951,-87.525035
37.966104,-87.504519
37.969992,-87.558956
37.975421,-87.627299
37.966586,-87.563336
37.982207,-87.547274
37.983109,-87.567365
37.993625,-87.584887
37.970001,-87.56017
37.968598,-87.487427
37.970006,-87.560537
37.97055,-87.564048
38.059144,-87.542527
37.992667,-87.381376
38.083197,-87.117181
37.960518,-87.396197
37.986955,-87.351976
37.980355,-87.387829
38.039793,-87.254363
37.960464,-87.397841
37.887105,-87.049901
38.168975,-86.993907
